Ticker,Class
AAPL,MEGA_CAP
MSFT,MEGA_CAP
AMZN,MEGA_CAP
GOOGL,MEGA_CAP
META,MEGA_CAP
NVDA,MEGA_CAP
TSLA,MEGA_CAP
AVGO,MEGA_CAP
SMCI,HYPERSCALE_HW
ARM,HYPERSCALE_HW
ANET,HYPERSCALE_HW
HPE,HYPERSCALE_HW
DELL,HYPERSCALE_HW
AMD,SEMIS
MU,SEMIS
QCOM,SEMIS
MRVL,SEMIS
ON,SEMIS
NXPI,SEMIS
TXN,SEMIS
MPWR,SEMIS
LSCC,SEMIS
KLAC,SEMIS_CAP
LRCX,SEMIS_CAP
AMAT,SEMIS_CAP
ACLS,SEMIS_EQUIP
AEHR,SEMIS_EQUIP
ENTG,SEMIS_SUPPLY
CRWD,CLOUD_SECURITY
PANW,CLOUD_SECURITY
FTNT,CLOUD_SECURITY
ZS,CLOUD_SECURITY
OKTA,CLOUD_SECURITY
S,CLOUD_SECURITY
DDOG,AI_SOFTWARE
SNOW,AI_SOFTWARE
MDB,AI_SOFTWARE
PLTR,AI_SOFTWARE
ESTC,AI_SOFTWARE
NOW,AI_SOFTWARE
ORCL,AI_SOFTWARE
ADBE,AI_SOFTWARE
CRM,AI_SOFTWARE
TEAM,AI_SOFTWARE
INTU,AI_SOFTWARE
NET,EDGE_COMPUTE
FSLY,EDGE_COMPUTE
TTD,CONSUMER_TECH
PINS,CONSUMER_TECH
ROKU,CONSUMER_TECH
NFLX,CONSUMER_TECH
SHOP,CONSUMER_TECH
SPOT,CONSUMER_TECH
DUOL,CONSUMER_TECH
UBER,CONSUMER_TECH
ABNB,CONSUMER_TECH
LYFT,CONSUMER_TECH
HOOD,FINTECH
COIN,FINTECH
SQ,FINTECH
AFRM,FINTECH
SOFI,FINTECH
IONQ,QUANTUM
QBTS,QUANTUM
RGTI,QUANTUM
QUBT,QUANTUM
ARQQ,QUANTUM
QTUM,QUANTUM_ETF
FSLR,ENERGY_TRANSITION
ENPH,ENERGY_TRANSITION
SEDG,ENERGY_TRANSITION
SMR,ENERGY_TRANSITION
NXT,ENERGY_TRANSITION
ARRY,ENERGY_TRANSITION
RIVN,EV_ECOSYSTEM
LCID,EV_ECOSYSTEM
CHPT,EV_ECOSYSTEM
BLNK,EV_ECOSYSTEM
ALB,EV_ECOSYSTEM
LTHM,EV_ECOSYSTEM
ETN,INDUSTRIALS
PH,INDUSTRIALS
CAT,INDUSTRIALS
DE,INDUSTRIALS
GE,INDUSTRIALS
TT,INDUSTRIALS
EMR,INDUSTRIALS
ROK,INDUSTRIALS
LLY,HEALTH_MEGA
REGN,HEALTH_MEGA
TMO,HEALTH_MEGA
ISRG,HEALTH_DEVICES
DXCM,HEALTH_DEVICES
ABT,HEALTH_DEVICES
WST,HEALTH_DEVICES
ELF,CONSUMER_BRANDS
CROX,CONSUMER_BRANDS
LULU,CONSUMER_BRANDS
CMG,CONSUMER_BRANDS
DKNG,CONSUMER_BRANDS
